tmdb_id,title,release_year,genres,overview,keywords,country,revenue_usd,vote_count,in_top_k_by_revenue,is_period_piece,signals_used,setting_start_year,setting_end_year,setting_decade,year_gap,era_hits,setting_type,setting_confidence,sources_used
302081,Kara Gözlüm,1970,"['Comedy', 'Romance', 'Music']","Azize, who sells fish with her father, is discovered by a bar owner with her beautiful voice. She becomes a famous singer in a short time with the anonymous compositions and even gets a movie offer from Hollywood. However, nothing goes as planned for Azize. She is forced to choose between her love and her dreams.",[],['TR'],0,19,True,False,[],,,,,[],unknown,0.3,['overview']
198661,Metello,1970,['Drama'],"The story of a young man of the working class, who has grown up practically an orphan due to his father’s repeated jailings for anarchistic activism. Struggling with life in 19th-century Italy, Metello Salani is determined to change his situation for the better - but love, marriage and politics complicate things considerably...","['italy', 'working class']",['IT'],0,20,True,False,[],,,,,[],unknown,0.3,"['overview', 'keywords']"
195080,Adventures of Mowgli: The Fight,1970,"['Adventure', 'Animation', 'Family']","Episode 4. A terrible threat hanging over the wolf tribe and all living inhabit the jungle. On native places for Mowgli is approaching a huge flock of wild red dogs, destroying everything in its path. It seemed nothing to resist them, but Mowgli comes up with as they confront the red Horde.",['jungle'],['SU'],0,23,True,False,[],,,,,[],unknown,0.3,"['overview', 'keywords']"
28681,Equinox,1970,"['Adventure', 'Horror']","Due to their possession of an ancient mystic book, four friends are attacked by a demon while on a picnic and find themselves pitched into a world of evil that overlaps their own.  The film was originally made in 1967 by Dennis Muren as The Equinox: Journey into the Supernatural. Jack Woods was hired to shoot additional footage and expand on Muren's work.","['monster', 'necronomicon']",['US'],850000,71,True,False,[],1967.0,1967.0,1960s,3.0,[],present,0.8,"['overview', 'keywords']"
40973,Myra Breckinridge,1970,"['Comedy', 'Drama']","Myron Breckinridge flies to Europe to get a sex-change operation and is transformed into the beautiful Myra. She travels to Hollywood, meets up with her rich Uncle Buck and, claiming to be Myron's widow, demands money. Instead, Buck gives Myra a job in his acting school. There, Myra meets aspiring actor Rusty and his girlfriend, Mary Ann. With Myra as catalyst, the trio begin to outrageously expand their sexual horizons.","['transsexual', 'lgbt']",['US'],3000000,46,True,False,[],,,,,[],unknown,0.3,"['overview', 'keywords']"
3088,My Darling Clementine,1946,"['Western', 'Drama', 'Romance']",Three brothers stop off for a night in the town of Tombstone. The next morning they find one of their brothers dead and their cattle stolen. They decide to take revenge on the culprits.,"['gunslinger', 'saloon', 'marshal', 'arizona', 'rifle', 'wyatt earp', 'doc holliday', 'revenge', 'tombstone arizona', 'death of girlfriend', '19th century', 'ok corral']",['US'],2750000,454,True,True,['genre_period'],,,,,[],unknown,0.3,"['overview', 'keywords']"
3089,Red River,1948,['Western'],"Following the Civil War, headstrong rancher Thomas Dunson decides to lead a perilous cattle drive from Texas to Missouri. During the exhausting journey, his persistence becomes tyrannical in the eyes of Matthew Garth, his adopted son and protégé.","['texas', 'kansas, usa', 'cattle drive', 'revenge', 'black and white', 'cattle', 'adopted child', 'cattle empire', '1850s']",['US'],9012000,565,True,True,['genre_period'],1861.0,1865.0,1860s,87.0,['civil war'],past,0.9,"['overview', 'keywords']"
15383,Army of Shadows,1969,"['War', 'Drama', 'Thriller']","Betrayed by an informant, Philippe Gerbier finds himself trapped in a torturous Nazi prison camp. Though Gerbier escapes to rejoin the Resistance in occupied Marseilles, France, and exacts his revenge on the informant, he must continue a quiet, seemingly endless battle against the Nazis in an atmosphere of tension, paranoia and distrust.","['czech', 'paris, france', 'based on novel or book', 'nazi', 'marseille, france', 'vichy regime', 'concentration camp', 'world war ii', 'french resistance', 'german occupation', '1940s']",['FR'],906133,698,True,True,"['genre_period', 'keyword_period']",,,,,[],unknown,0.3,"['overview', 'keywords']"
383511,Las Leandras,1969,"['Comedy', 'Music']","After finishing her studies in London, Patricia returns to Spain, excited to see her mother again, a famous revue showgirl. But upon her arrival, she discovers that her mother is ruined and working in a low-tier theater. Mother and daughter decide to fight together to regain fame and fortune.",[],['ES'],0,15,True,False,[],,,,,[],unknown,0.3,['overview']
163863,Walkover,1965,['Drama'],"Walkover, the autobiographical second feature by Polish enfant terrible Jerzy Skolimowski echoes the French nouvelle vague  in its extraordinarily stylized tale of a prizefighter who ducks a fight to romance a beautiful blonde.",[],['PL'],0,21,True,False,[],,,,,[],unknown,0.3,['overview']
145433,Eyewitness,1970,['Thriller'],A boy who cries wolf witnesses a political assassination on the island of Malta. But will anyone other than his granddad believe him?,"['hitman', 'martial law', 'malta', 'pursuit']",['GB'],0,17,True,False,[],,,,,[],unknown,0.3,"['overview', 'keywords']"
150043,Something for Everyone,1970,"['Drama', 'Comedy', 'Crime']","In post-war Austria, an opportunistic young man begins working as a footman to a widowed countess and uses his sexual talents to better his station in life.","['lgbt', 'gay theme']",['US'],0,18,True,False,[],,,,,[],unknown,0.3,"['overview', 'keywords']"
186908,The Lion Has Seven Heads,1971,['Drama'],A white-robed preacher wanders and sermonizes across African lands; European communists and CIA spies conspire out of mutual self-interest to engineer the appointment of an African bourgeois to a puppet government presidency; and a revolutionary group marches in exile.,[],"['BR', 'CG']",0,28,True,False,[],,,,,[],unknown,0.3,['overview']
38953,Ryan's Daughter,1970,"['Romance', 'History', 'Drama']",The wife of an Irish school teacher is branded a traitor when she falls for a British officer who is part of an occupying force in 1917 Ireland.,"['rebellion', 'world war i', 'gun', 'village', 'mute', 'ireland', 'extramarital affair', 'irish easter rebellion (1916)', 'catholic priest', 'waves', 'british officer', 'coastal town', 'long brown hair', '1910s', 'pariah', 'mob justice', 'irish lass', 'county kerry', 'british occupation', 'irish sea', 'irish resistance']",['US'],30800000,165,True,True,"['genre_period', 'explicit_past_year']",1917.0,1917.0,1910s,53.0,[],past,0.9,"['overview', 'keywords']"
153641,The Reckoning,1970,['Drama'],"Michael Marler, a successful businessman in London, is about to make his way to the top. After 37 years, the death of his father brings him back to his hometown of Liverpool, where he’s confronted with his lost Irish roots. He finds out that his father died in a fight with some Anglo-Saxon teddy boys. It becomes a matter of honour for him to take his revenge without involving the police.","['based on novel or book', 'liverpool, england', 'revenge']",['GB'],0,15,True,False,[],,,,,[],unknown,0.3,"['overview', 'keywords']"
262187,Jonathan,1970,"['Horror', 'Drama']","A group of vampires terrorizes a small village on the German North Sea Coast. The young Jonathan joins a group of fellow students and locals, who plan an uprising against the vampires.","['based on novel or book', 'vampire']",['DE'],0,15,True,False,[],,,,,[],unknown,0.3,"['overview', 'keywords']"
3116,Midnight Cowboy,1969,['Drama'],"Joe Buck is a wide-eyed hustler from Texas hoping to score big with wealthy New York City women; he finds a companion in Enrico ""Ratso"" Rizzo, an ailing swindler with a bum leg and a quixotic fantasy of escaping to Florida.","['new york city', 'friendship', 'prostitute', 'rape', 'based on novel or book', 'shower', 'texas', 'hustler', 'homelessness', 'rape of a male', 'male homosexuality', 'male prostitution', 'fish out of water', 'gang rape', 'cynical', 'lgbt', 'male bonding', 'polio', '1960s', 'anxious', 'cautionary', 'provocative']",['US'],44785053,1523,True,False,[],,,,,[],unknown,0.3,"['overview', 'keywords']"
410156,Rosas blancas para mi hermana negra,1970,['Drama'],"The story revolves around Laura, a white singer, and Angustias, her longtime black friend, with both mothers dedicated to the education of their daughters: Alicia and Roberta. Trouble ensues when Laura’s daughter, Alicia, falls in love with Ricardo, a young black medical student.",[],['MX'],0,19,True,False,[],,,,,[],unknown,0.3,['overview']
168502,The Ancines Woods,1970,"['Drama', 'Horror', 'History']","Benito Freire, a pedlar in a small village in northern Spain suffers from epileptic seizures and rumours start to spread that he may be a werewolf and responsible for a series of killings. The local Abbot is called upon to form a team to investigate, in an effort to halt the harrowing murders.","['based on novel or book', 'serial killer', 'werewolf', 'peddler']",['ES'],0,28,True,True,['genre_period'],,,,,[],unknown,0.3,"['overview', 'keywords']"
192568,Copacabana Mon Amour,1970,"['Drama', 'Comedy']",Sônia and her homosexual brother are both believed by their mother to be possessed by the devil. She works as a prostitute in the streets of Copacabana and he’s a servant who falls madly in love with his employer.,[],['BR'],0,17,True,False,[],,,,,[],unknown,0.3,['overview']
221241,Pero the Lump's Gang,1970,"['Adventure', 'Family']","A group of village boys found a gang under the leadership of the most intelligent amongst them - Pero the Lump. They decide to renovate an old and abandoned watermill on the outskirts of their village. A discord amongst the villages has caused the mill to remain unused. To make sure it stays closed, the corrupted steam mill owner is ready to bribe customers. Pero's gang does not want to give in under the pressure of corrupt villagers...","['corruption', 'yugoslavia', 'mill', 'peasant', 'village', 'croatia']",['YU'],0,16,True,False,[],,,,,[],unknown,0.3,"['overview', 'keywords']"
