release_decade,1640s,1660s,1690s,1740s,1750s,1760s,1780s,1790s,1800s,1810s,1820s,1830s,1840s,1850s,1860s,1870s,1880s,1890s,1900s,1910s,1920s,1930s,1940s,1950s,1960s,1970s,1980s,1990s,2000s,
1910s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
1920s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
1930s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0
1940s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11111111111111,0.0,0.0,0.0,0.0,11.11111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.77777777777779
1950s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6923076923076925,0.0,0.0,0.0,7.6923076923076925,0.0,7.6923076923076925,0.0,0.0,0.0,7.6923076923076925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.23076923076923
1960s,1.8181818181818181,1.8181818181818181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8181818181818181,5.454545454545454,0.0,0.0,1.8181818181818181,1.8181818181818181,12.727272727272727,1.8181818181818181,0.0,5.454545454545454,0.0,0.0,0.0,0.0,0.0,0.0,65.45454545454545
1970s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1505376344086025,2.1505376344086025,0.0,0.0,1.0752688172043012,7.526881720430108,0.0,3.225806451612903,9.67741935483871,4.301075268817205,5.376344086021505,0.0,0.0,0.0,0.0,64.51612903225806
1980s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5974025974025974,0.0,0.0,0.0,0.0,11.688311688311687,2.5974025974025974,1.2987012987012987,10.38961038961039,9.090909090909092,0.0,2.5974025974025974,1.2987012987012987,0.0,0.0,58.44155844155844
1990s,0.0,0.0,1.0416666666666665,0.0,0.0,0.0,1.0416666666666665,0.0,1.0416666666666665,0.0,0.0,1.0416666666666665,0.0,0.0,3.125,0.0,0.0,0.0,0.0,7.291666666666667,2.083333333333333,3.125,5.208333333333334,1.0416666666666665,4.166666666666666,5.208333333333334,2.083333333333333,1.0416666666666665,0.0,61.458333333333336
2000s,0.0,0.0,0.0,0.0,0.0,0.5988023952095809,0.0,0.0,0.5988023952095809,0.5988023952095809,0.0,0.5988023952095809,0.0,0.0,1.1976047904191618,0.0,0.5988023952095809,1.7964071856287425,0.5988023952095809,10.179640718562874,1.7964071856287425,3.592814371257485,5.389221556886228,2.3952095808383236,3.592814371257485,6.58682634730539,4.191616766467066,2.9940119760479043,1.1976047904191618,51.49700598802395
2010s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4784688995215311,0.0,0.9569377990430622,0.4784688995215311,0.4784688995215311,0.4784688995215311,2.8708133971291865,0.0,0.0,1.4354066985645932,0.4784688995215311,8.61244019138756,0.9569377990430622,2.3923444976076556,6.698564593301436,3.827751196172249,6.220095693779904,3.827751196172249,5.741626794258373,1.4354066985645932,3.349282296650718,49.282296650717704
2020s,0.0,0.0,0.0,1.1235955056179776,1.1235955056179776,0.0,1.1235955056179776,0.0,1.1235955056179776,0.0,1.1235955056179776,0.0,0.0,2.247191011235955,0.0,2.247191011235955,0.0,1.1235955056179776,0.0,6.741573033707865,2.247191011235955,5.617977528089887,5.617977528089887,4.49438202247191,1.1235955056179776,5.617977528089887,3.3707865168539324,2.247191011235955,1.1235955056179776,50.56179775280899
