tmdb_id,title,release_year,is_period_piece,setting_type,setting_confidence,overview,sources_used
302081,Kara Gözlüm,1970,False,unknown,0.3,"Azize, who sells fish with her father, is discovered by a bar owner with her beautiful voice. She becomes a famous singer in a short time with the anonymous compositions and even gets a movie offer from Hollywood. However, nothing goes as planned for Azize. She is forced to choose between her love and her dreams.",[]
198661,Metello,1970,False,unknown,0.3,"The story of a young man of the working class, who has grown up practically an orphan due to his father’s repeated jailings for anarchistic activism. Struggling with life in 19th-century Italy, Metello Salani is determined to change his situation for the better - but love, marriage and politics complicate things considerably...",[]
195080,Adventures of Mowgli: The Fight,1970,False,unknown,0.3,"Episode 4. A terrible threat hanging over the wolf tribe and all living inhabit the jungle. On native places for Mowgli is approaching a huge flock of wild red dogs, destroying everything in its path. It seemed nothing to resist them, but Mowgli comes up with as they confront the red Horde.",[]
40973,Myra Breckinridge,1970,False,unknown,0.3,"Myron Breckinridge flies to Europe to get a sex-change operation and is transformed into the beautiful Myra. She travels to Hollywood, meets up with her rich Uncle Buck and, claiming to be Myron's widow, demands money. Instead, Buck gives Myra a job in his acting school. There, Myra meets aspiring actor Rusty and his girlfriend, Mary Ann. With Myra as catalyst, the trio begin to outrageously expand their sexual horizons.",[]
3088,My Darling Clementine,1946,True,unknown,0.3,"Three brothers stop off for a night in the town of Tombstone. The next morning they find one of their brothers dead and their cattle stolen. They decide to take revenge on the culprits.. She was everything the West was - young, fiery, exciting!. She was everything the West was - young, fiery, exciting!",[]
15383,Army of Shadows,1969,True,unknown,0.3,"Betrayed by an informant, Philippe Gerbier finds himself trapped in a torturous Nazi prison camp. Though Gerbier escapes to rejoin the Resistance in occupied Marseilles, France, and exacts his revenge on the informant, he must continue a quiet, seemingly endless battle against the Nazis in an atmosphere of tension, paranoia and distrust.. Betrayal. Loyalty. Collaboration. Resistance.. Betrayal. Loyalty. Collaboration. Resistance.",[]
383511,Las Leandras,1969,False,unknown,0.3,"After finishing her studies in London, Patricia returns to Spain, excited to see her mother again, a famous revue showgirl. But upon her arrival, she discovers that her mother is ruined and working in a low-tier theater. Mother and daughter decide to fight together to regain fame and fortune.",[]
163863,Walkover,1965,False,unknown,0.3,"Walkover, the autobiographical second feature by Polish enfant terrible Jerzy Skolimowski echoes the French nouvelle vague  in its extraordinarily stylized tale of a prizefighter who ducks a fight to romance a beautiful blonde.",[]
145433,Eyewitness,1970,False,unknown,0.3,A boy who cries wolf witnesses a political assassination on the island of Malta. But will anyone other than his granddad believe him?,[]
150043,Something for Everyone,1970,False,unknown,0.3,"In post-war Austria, an opportunistic young man begins working as a footman to a widowed countess and uses his sexual talents to better his station in life.",[]
186908,The Lion Has Seven Heads,1971,False,unknown,0.3,A white-robed preacher wanders and sermonizes across African lands; European communists and CIA spies conspire out of mutual self-interest to engineer the appointment of an African bourgeois to a puppet government presidency; and a revolutionary group marches in exile.,[]
153641,The Reckoning,1970,False,unknown,0.3,"Michael Marler, a successful businessman in London, is about to make his way to the top. After 37 years, the death of his father brings him back to his hometown of Liverpool, where he’s confronted with his lost Irish roots. He finds out that his father died in a fight with some Anglo-Saxon teddy boys. It becomes a matter of honour for him to take his revenge without involving the police.",[]
262187,Jonathan,1970,False,unknown,0.3,"A group of vampires terrorizes a small village on the German North Sea Coast. The young Jonathan joins a group of fellow students and locals, who plan an uprising against the vampires.",[]
3116,Midnight Cowboy,1969,False,unknown,0.3,"Joe Buck is a wide-eyed hustler from Texas hoping to score big with wealthy New York City women; he finds a companion in Enrico ""Ratso"" Rizzo, an ailing swindler with a bum leg and a quixotic fantasy of escaping to Florida.",[]
410156,Rosas blancas para mi hermana negra,1970,False,unknown,0.3,"The story revolves around Laura, a white singer, and Angustias, her longtime black friend, with both mothers dedicated to the education of their daughters: Alicia and Roberta. Trouble ensues when Laura’s daughter, Alicia, falls in love with Ricardo, a young black medical student.",[]
168502,The Ancines Woods,1970,True,unknown,0.3,"Benito Freire, a pedlar in a small village in northern Spain suffers from epileptic seizures and rumours start to spread that he may be a werewolf and responsible for a series of killings. The local Abbot is called upon to form a team to investigate, in an effort to halt the harrowing murders.. The Ancines Woods. The Forest of the Wolf. The Ancines Woods. Benito Freire, a pedlar in a small village in northern Spain suffers from epileptic seizures and rumours start to spread that he may be a werewolf and responsible for a series of killings. The local Abbot is called upon to form a team to investigate, in an effort to halt the harrowing murders.. Benito Freire es un buhonero que vive miserablemente en un ambiente dominado por la ignorancia y la superstición. Se dedica a la venta ambulante por los pueblos gallegos y padece severos ataques de epilepsia. Por la comarca empieza a extenderse el rumor de que es un hombre lobo y de que está poseído por un espíritu demoníaco. Y son, precisamente, las historias que de él se cuentan las que acaban haciéndolo enloquecer. Entonces, en las noches de luna llena, acompaña a través del bosque a aldeanos a los que luego asesina.. 森林之狼. 贝尼托•弗莱雷（由José Luis López Vázquez饰演）是加利西亚地区（位于西班牙西北部）的一位商贩，同时也干些杂活，如给人带路、传递书信。但不为人所知的是，这位外表老实、忠诚的小贩，却是传说中吸血的狼人。不幸就这么发生了……. Benito Freire, een marskramer in een klein dorpje in Noord-Spanje, lijdt aan epileptische aanvallen en er gaan geruchten de ronde dat hij mogelijk een weerwolf is en verantwoordelijk is voor een reeks moorden. De plaatselijke abt wordt opgeroepen een onderzoeksteam te vormen, in een poging de schrijnende moorden een halt toe te roepen.. The Ancines Woods. The Forest of the Wolf. The Ancines Woods. Benito Freire, a pedlar in a small village in northern Spain suffers from epileptic seizures and rumours start to spread that he may be a werewolf and responsible for a series of killings. The local Abbot is called upon to form a team to investigate, in an effort to halt the harrowing murders.. Benito Freire es un buhonero que vive miserablemente en un ambiente dominado por la ignorancia y la superstición. Se dedica a la venta ambulante por los pueblos gallegos y padece severos ataques de epilepsia. Por la comarca empieza a extenderse el rumor de que es un hombre lobo y de que está poseído por un espíritu demoníaco. Y son, precisamente, las historias que de él se cuentan las que acaban haciéndolo enloquecer. Entonces, en las noches de luna llena, acompaña a través del bosque a aldeanos a los que luego asesina.. 森林之狼. 贝尼托•弗莱雷（由José Luis López Vázquez饰演）是加利西亚地区（位于西班牙西北部）的一位商贩，同时也干些杂活，如给人带路、传递书信。但不为人所知的是，这位外表老实、忠诚的小贩，却是传说中吸血的狼人。不幸就这么发生了……. Benito Freire, een marskramer in een klein dorpje in Noord-Spanje, lijdt aan epileptische aanvallen en er gaan geruchten de ronde dat hij mogelijk een weerwolf is en verantwoordelijk is voor een reeks moorden. De plaatselijke abt wordt opgeroepen een onderzoeksteam te vormen, in een poging de schrijnende moorden een halt toe te roepen.",[]
192568,Copacabana Mon Amour,1970,False,unknown,0.3,Sônia and her homosexual brother are both believed by their mother to be possessed by the devil. She works as a prostitute in the streets of Copacabana and he’s a servant who falls madly in love with his employer.,[]
221241,Pero the Lump's Gang,1970,False,unknown,0.3,"A group of village boys found a gang under the leadership of the most intelligent amongst them - Pero the Lump. They decide to renovate an old and abandoned watermill on the outskirts of their village. A discord amongst the villages has caused the mill to remain unused. To make sure it stays closed, the corrupted steam mill owner is ready to bribe customers. Pero's gang does not want to give in under the pressure of corrupt villagers...",[]
28733,"Count Yorga, Vampire",1970,False,unknown,0.3,"Posing as a hip medium, a bloodthirsty old-world undead gent attracts young lovelies to his mansion by holding séances in modern-day Los Angeles.",[]
5185,The Private Life of Sherlock Holmes,1970,True,unknown,0.3,"Holmes and Dr. Watson take on the case of a beautiful woman whose husband has vanished. The investigation proves strange indeed, involving six missing midgets, villainous monks, a Scottish castle, the Loch Ness monster, and covert naval experiments.. Anything But Elementary.. Anything But Elementary.",[]
147009,Anna Karenina,1967,False,unknown,0.3,"The plot of the film is the love of a married woman, Anna Karenina, and a young officer, Aleksei Vronsky. Anna leaves the family in search of happiness to her beloved person. She has to take a very serious step in her life - to part with her son. The attitude of the high society towards her is changing. All this brings a lot of pain and humiliation to the main character.  The tragic story of love and betrayal, the fate of a woman, for the sake of passion who decided to change her life irrevocably.",[]
34377,The Boys in the Band,1970,False,unknown,0.3,"A witty, perceptive and devastating look at the personal agendas and suppressed revelations swirling among a group of gay men in Manhattan. Harold is celebrating a birthday, and his friend Michael has drafted some other friends to help commemorate the event. As the evening progresses, the alcohol flows, the knives come out, and Michael's demand that the group participate in a devious telephone game, unleashing dormant and unspoken emotions.",[]
23114,Little Lord Fauntleroy,1936,False,unknown,0.3,"An American boy turns out to be the heir of a wealthy British earl. He is sent to live with the irritable and unsentimental aristocrat, his grandfather.",[]
8785,The Saragossa Manuscript,1965,False,unknown,0.3,"During the Napoleonic wars, a Spanish officer and an opposing officer find a book written by the former's grandfather.",[]
259665,Rubí,1970,False,unknown,0.3,"Rubi steals the fiancé from her millionaire friend Maribel, leaves her city and gets married in New York.",[]
448085,Red the Half Breed,1970,False,unknown,0.3,The illegitimate son of an Indian woman and a French Canadian man leaves home and is attacked when he tries to return.,[]
19545,Invasion of Astro-Monster,1965,False,unknown,0.3,"Astronauts Glenn and Fuji investigate Planet X and encounter mysterious aliens known as the Xiliens, who ask Earth's people to help save their world from ""Monster Zero"".  In exchange for borrowing Godzilla and Rodan, the Xiliens offer a cure for cancer. As Glenn investigates, he develops a romance with Miss Namikawa and uncovers the Xilien's true intentions.",[]
5722,Beyond the Valley of the Dolls,1970,False,unknown,0.3,"An all-girl rock band moves to Hollywood in the hope of achieving success, only to fall into a whirlpool of wickedness and decadence.",[]
10331,Night of the Living Dead,1968,False,unknown,0.3,A ragtag group barricade themselves in an old Pennsylvania farmhouse to remain safe from a horde of flesh-eating ghouls ravaging the Northeast.,[]
