release_decade,1640s,1690s,1740s,1750s,1760s,1780s,1790s,1800s,1810s,1820s,1830s,1840s,1850s,1860s,1870s,1880s,1890s,1900s,1910s,1920s,1930s,1940s,1950s,1960s,1970s,1980s,1990s,2000s,
1910s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
1920s,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
1930s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.66666666666666
1940s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.71428571428571
1950s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.142857142857142,0.0,0.0,0.0,7.142857142857142,0.0,7.142857142857142,0.0,0.0,0.0,7.142857142857142,0.0,0.0,7.142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,64.28571428571429
1960s,1.7857142857142856,0.0,1.7857142857142856,0.0,0.0,0.0,1.7857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,3.571428571428571,0.0,0.0,1.7857142857142856,1.7857142857142856,12.5,1.7857142857142856,0.0,7.142857142857142,0.0,3.571428571428571,0.0,0.0,0.0,0.0,62.5
1970s,0.0,0.0,0.0,0.0,0.0,1.0204081632653061,0.0,0.0,0.0,0.0,0.0,1.0204081632653061,0.0,3.061224489795918,2.0408163265306123,0.0,0.0,1.0204081632653061,9.183673469387756,1.0204081632653061,1.0204081632653061,8.16326530612245,5.1020408163265305,4.081632653061225,0.0,1.0204081632653061,0.0,0.0,62.244897959183675
1980s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7027027027027026,0.0,0.0,0.0,0.0,12.162162162162163,2.7027027027027026,1.3513513513513513,8.108108108108109,9.45945945945946,0.0,1.3513513513513513,1.3513513513513513,0.0,0.0,60.810810810810814
1990s,0.0,1.0416666666666665,0.0,0.0,0.0,1.0416666666666665,0.0,1.0416666666666665,0.0,0.0,1.0416666666666665,0.0,0.0,3.125,0.0,0.0,0.0,0.0,7.291666666666667,2.083333333333333,3.125,5.208333333333334,1.0416666666666665,4.166666666666666,5.208333333333334,2.083333333333333,1.0416666666666665,0.0,61.458333333333336
2000s,0.0,0.0,0.0,0.0,0.5988023952095809,0.0,0.0,0.5988023952095809,0.5988023952095809,0.0,0.5988023952095809,0.0,0.0,1.1976047904191618,0.0,0.5988023952095809,1.7964071856287425,0.5988023952095809,10.179640718562874,1.7964071856287425,3.592814371257485,5.389221556886228,2.3952095808383236,3.592814371257485,6.58682634730539,4.191616766467066,2.9940119760479043,1.1976047904191618,51.49700598802395
2010s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4784688995215311,0.0,0.9569377990430622,0.4784688995215311,0.4784688995215311,0.4784688995215311,2.8708133971291865,0.0,0.0,1.4354066985645932,0.4784688995215311,8.61244019138756,0.9569377990430622,2.3923444976076556,6.698564593301436,3.827751196172249,6.220095693779904,3.827751196172249,5.741626794258373,1.4354066985645932,3.349282296650718,49.282296650717704
2020s,0.0,0.0,1.1235955056179776,1.1235955056179776,0.0,1.1235955056179776,0.0,1.1235955056179776,0.0,1.1235955056179776,0.0,0.0,2.247191011235955,0.0,2.247191011235955,0.0,1.1235955056179776,0.0,6.741573033707865,2.247191011235955,5.617977528089887,5.617977528089887,4.49438202247191,1.1235955056179776,5.617977528089887,3.3707865168539324,2.247191011235955,1.1235955056179776,50.56179775280899
